| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  1.72e+03  -50.00 |
0  1.72e+03  -50.00 |  -50.00    0.0    161     3 |   -0.41   0.11   0.02   0.00
0  4.85e+04  -49.81 |
0  4.85e+04  -49.81 |  -49.81    0.0    158     4 |   -0.39   0.04   0.07   0.00
0  9.53e+04    0.76 |
0  9.53e+04    0.76 |    0.76    0.1    130     4 |   -0.11   0.53   0.15   0.00
0  1.42e+05    0.76 |  -50.00    0.0     21     0 |   -2.30   0.00   0.37   0.00
0  1.89e+05    0.76 |  -50.00    0.0     21     0 |   -2.30   0.00   0.40   0.00
0  2.38e+05    0.76 |  -50.00    0.0     21     0 |   -2.30   0.00   0.35   0.00
0  2.85e+05    0.76 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  3.28e+05    1.73 |
0  3.28e+05    1.73 |    1.73    1.0     96     3 |    0.02   0.22   0.28   0.00
0  3.73e+05    1.73 |    1.67    0.7     95     3 |    0.02   0.21   0.28   0.00
0  4.20e+05    1.73 |    1.60    0.9     98     2 |    0.02   0.17   0.33   0.00
0  4.65e+05    2.18 |
0  4.65e+05    2.18 |    2.18    1.1     96     3 |    0.02   0.19   0.33   0.00
0  5.11e+05    2.18 |    1.17    0.1     96     3 |    0.02   0.15   0.26   0.00
0  5.58e+05    2.49 |
0  5.58e+05    2.49 |    2.49    0.9     97     4 |    0.02   0.23   0.28   0.00
0  6.03e+05    2.49 |    1.58    0.6     96     4 |    0.02   0.21   0.40   0.00
0  6.48e+05    2.49 |    2.01    0.9     97     2 |    0.02   0.14   0.29   0.00
0  6.90e+05    2.91 |
0  6.90e+05    2.91 |    2.91    0.1     97     1 |    0.02   0.17   0.31   0.00
0  7.33e+05    2.91 |    2.76    1.0     94     2 |    0.02   0.20   0.36   0.00
0  7.78e+05    2.91 |    2.09    1.1     97     3 |    0.02   0.21   0.35   0.00
0  8.21e+05    2.91 |    2.80    0.9     94     2 |    0.02   0.15   0.26   0.00
0  8.63e+05    2.91 |    2.59    1.0     97     4 |    0.02   0.11   0.32   0.00
0  9.02e+05    2.91 |    2.15    1.0     96     2 |    0.02   0.17   0.33   0.00
0  9.42e+05    2.91 |    1.77    0.9     94     3 |    0.02   0.20   0.29   0.00
0  9.81e+05    2.91 |    2.19    1.1     96     3 |    0.02   0.21   0.35   0.00
0  1.02e+06    2.91 |  -50.00    0.0     21     0 |    0.02   0.20   0.28   0.00
0  1.06e+06    2.91 |    1.68    0.7     95     1 |    0.02   0.19   0.27   0.00
0  1.09e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  1.12e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.28   0.00
0  1.15e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.42   0.00
0  1.18e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.21   0.00
0  1.21e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.34   0.00
0  1.24e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  1.27e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.41   0.00
0  1.30e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.33   0.00
0  1.33e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.31   0.00
0  1.36e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.33   0.00
0  1.39e+06    2.91 |  -50.00    0.0     21     0 |   -2.30   0.00   0.35   0.00
