| Remove cwd: ./AgentPPO_LandMars_0
################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  1.71e+03  -70.56 |
0  1.71e+03  -70.56 |  -70.56    8.0    152    30 |   -0.47   1.01   0.02   0.00
0  4.86e+04    9.78 |
0  4.86e+04    9.78 |    9.78    0.5    187     4 |   -0.34   0.52  -0.10   0.00
0  9.54e+04    9.78 |  -34.53   45.0    133    26 |   -0.23   0.52  -0.01   0.00
0  1.42e+05   17.58 |
0  1.42e+05   17.58 |   17.58    2.3    138     5 |   -0.03   0.31  -0.10   0.00
0  1.89e+05   17.58 |   13.24    0.6    112     2 |   -0.08   0.48  -0.03   0.00
0  2.36e+05   18.40 |
0  2.36e+05   18.40 |   18.40    1.5    122     6 |   -0.11   0.37  -0.01   0.00
0  2.83e+05   18.40 |   15.17    0.3     99     1 |   -0.02   0.39  -0.02   0.00
0  3.30e+05   18.40 |   15.57    0.7    101     4 |    0.04   0.20   0.01   0.00
0  3.76e+05   18.40 |   16.14    0.5    104     3 |    0.05   0.14   0.02   0.00
0  4.23e+05   18.40 |   17.69    1.5    109     7 |    0.09   0.01  -0.03   0.00
0  4.70e+05   18.40 |   15.68    0.8     98     2 |    0.20   0.23   0.04   0.00
0  5.17e+05   18.40 |   18.21    2.9    114    14 |    0.09   0.32   0.07   0.00
0  5.64e+05   18.40 |   16.56    0.1    106     1 |    0.05   0.15  -0.11   0.00
0  6.10e+05   18.40 |   15.04    0.4     98     2 |    0.10   0.19   0.03   0.00
0  6.57e+05   18.40 |  -25.47   43.5    102     6 |    0.04   0.20   0.05   0.00
0  7.04e+05   18.40 |   15.78    0.2    102     2 |    0.05   0.28  -0.10   0.00
0  7.51e+05   20.03 |
0  7.51e+05   20.03 |   20.03    1.3    122     2 |   -0.01   0.30  -0.03   0.00
0  7.98e+05   20.03 |   18.07    2.5    106     6 |    0.09   0.21   0.07   0.00
0  8.45e+05   20.03 |   19.62    0.2    117     0 |   -0.03   0.21   0.11   0.00
0  8.91e+05   20.03 |   15.89    1.4    112     2 |    0.08   0.08  -0.10   0.00
0  9.38e+05   20.03 |   19.68    1.2    110     2 |    0.04   0.28  -0.02   0.00
0  9.85e+05   20.03 |   16.03    0.4    103     3 |    0.04   0.27   0.06   0.00
0  1.03e+06   20.03 |   17.23    2.0    109     6 |   -0.06   0.19  -0.10   0.00
0  1.08e+06   20.03 |   14.32    1.5    102     1 |    0.09   0.16   0.03   0.00
0  1.13e+06   20.03 |   16.10    0.4    105     1 |    0.09   0.23   0.06   0.00
0  1.17e+06   20.03 |   15.97    1.4    105     9 |    0.07   0.34  -0.14   0.00
0  1.22e+06   20.03 |   14.30    0.7    102     5 |   -0.01   0.19   0.02   0.00
0  1.27e+06   20.03 |   15.69    0.0    105     0 |    0.09   0.06  -0.09   0.00
0  1.31e+06   20.03 |   15.97    0.7    104     4 |   -0.07   0.35   0.14   0.00
0  1.36e+06   20.03 |   17.37    1.1    114     4 |   -0.03   0.32   0.03   0.00
0  1.41e+06   20.03 |   16.07    1.7     99     6 |   -0.02   0.21   0.04   0.00
0  1.45e+06   20.03 |   14.69    0.2     96     0 |    0.10   0.03   0.08   0.00
0  1.50e+06   20.03 |   18.44    2.8    114    12 |    0.09   0.03  -0.01   0.00
0  1.55e+06   20.03 |   16.70    1.9    106     8 |    0.04   0.24   0.03   0.00
0  1.59e+06   20.03 |  -22.23   38.3    116    12 |   -0.09   0.26  -0.02   0.00
0  1.64e+06   20.03 |  -26.04   45.5    110     5 |    0.09   0.14  -0.07   0.00
0  1.69e+06   20.03 |   16.34    1.1    104     4 |   -0.15   0.19  -0.01   0.00
0  1.73e+06   20.03 |   15.43    0.9    107    13 |    0.03   0.14  -0.15   0.00
0  1.78e+06   20.03 |  -41.53   58.5     54    54 |   -0.07   0.36   0.07   0.00
0  1.83e+06   20.03 |   17.28    0.7    108     2 |    0.04   0.13  -0.09   0.00
